run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,
General-179-20210519-16:41:13-32237,runattr,,,measurement,,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,network,EarthquakeDetector,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,processid,32237,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,repetition,179,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,replication,#179,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,resultdir,results,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,runnumber,179,,,,,,
General-179-20210519-16:41:13-32237,runattr,,,seedset,179,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,configname,General,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,datetime,20210519-16:41:14,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,experiment,General,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,inifile,omnetpp.ini,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,iterationvars,,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,iterationvarsf,,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,measurement,,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,network,EarthquakeDetector,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,processid,32247,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,repetition,181,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,replication,#181,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,resultdir,results,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,runnumber,181,,,,,,
General-181-20210519-16:41:14-32247,runattr,,,seedset,181,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,configname,General,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,datetime,20210519-16:41:38,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,experiment,General,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,inifile,omnetpp.ini,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,iterationvars,,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,iterationvarsf,,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,measurement,,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,network,EarthquakeDetector,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,processid,32506,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,repetition,232,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,replication,#232,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,resultdir,results,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,runnumber,232,,,,,,
General-232-20210519-16:41:38-32506,runattr,,,seedset,232,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,configname,General,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,datetime,20210519-16:41:37,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,experiment,General,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,inifile,omnetpp.ini,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,iterationvars,,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,iterationvarsf,,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,measurement,,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,network,EarthquakeDetector,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,processid,32491,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,repetition,229,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,replication,#229,,,,,,
General-229-20210519-16:41:37-32491,runattr,,,resultdir,results,,,,,,
