run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,
General-63-20210519-11:43:19-23447,runattr,,,datetime,20210519-11:43:19,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,experiment,General,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,inifile,omnetpp.ini,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,iterationvars,,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,iterationvarsf,,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,measurement,,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,network,EarthquakeDetector,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,processid,23447,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,repetition,63,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,replication,#63,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,resultdir,results,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,runnumber,63,,,,,,,
General-63-20210519-11:43:19-23447,runattr,,,seedset,63,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,configname,General,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,datetime,20210519-11:43:19,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,experiment,General,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,inifile,omnetpp.ini,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,iterationvars,,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,iterationvarsf,,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,measurement,,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,network,EarthquakeDetector,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,processid,23452,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,repetition,64,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,replication,#64,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,resultdir,results,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,runnumber,64,,,,,,,
General-64-20210519-11:43:19-23452,runattr,,,seedset,64,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,configname,General,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,datetime,20210519-11:43:21,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,experiment,General,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,inifile,omnetpp.ini,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,iterationvars,,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,iterationvarsf,,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,measurement,,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,network,EarthquakeDetector,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,processid,23467,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,repetition,67,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,replication,#67,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,resultdir,results,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,runnumber,67,,,,,,,
General-67-20210519-11:43:21-23467,runattr,,,seedset,67,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,configname,General,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,datetime,20210519-11:43:20,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,experiment,General,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,inifile,omnetpp.ini,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,iterationvars,,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,iterationvarsf,,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,measurement,,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,network,EarthquakeDetector,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,processid,23457,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,repetition,65,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,replication,#65,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,resultdir,results,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,runnumber,65,,,,,,,
General-65-20210519-11:43:20-23457,runattr,,,seedset,65,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,configname,General,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,datetime,20210519-11:43:21,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,experiment,General,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,inifile,omnetpp.ini,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,iterationvars,,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,iterationvarsf,,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,measurement,,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,network,EarthquakeDetector,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,processid,23462,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,repetition,66,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,replication,#66,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,resultdir,results,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,runnumber,66,,,,,,,
General-66-20210519-11:43:21-23462,runattr,,,seedset,66,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,configname,General,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,datetime,20210519-11:43:21,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,experiment,General,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,inifile,omnetpp.ini,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,iterationvars,,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,iterationvarsf,,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,measurement,,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,network,EarthquakeDetector,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,processid,23473,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,repetition,68,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,replication,#68,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,resultdir,results,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,runnumber,68,,,,,,,
General-68-20210519-11:43:21-23473,runattr,,,seedset,68,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,configname,General,,,,,,,
General-70-20210519-11:43:23-23483,runattr,,,datetime,20210519-11:43:23,,,,,,,
