run,type,module,name,attrname,attrvalue,value,vectime,vecvalue,,,,,
General-13-20210518-20:51:52-20997,runattr,,,replication,#13,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,resultdir,results,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,runnumber,13,,,,,,,,
General-13-20210518-20:51:52-20997,runattr,,,seedset,13,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,configname,General,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,datetime,20210518-20:51:12,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,experiment,General,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,iterationvars,,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,iterationvarsf,,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,measurement,,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,network,EarthquakeDetector,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,processid,20713,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,repetition,4,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,replication,#4,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,resultdir,results,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,runnumber,4,,,,,,,,
General-4-20210518-20:51:12-20713,runattr,,,seedset,4,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,configname,General,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,datetime,20210518-20:52:50,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,experiment,General,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,iterationvars,,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,iterationvarsf,,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,measurement,,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,network,EarthquakeDetector,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,processid,21432,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,repetition,26,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,replication,#26,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,resultdir,results,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,runnumber,26,,,,,,,,
General-26-20210518-20:52:50-21432,runattr,,,seedset,26,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,configname,General,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,datetime,20210518-20:52:54,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,experiment,General,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,iterationvars,,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,iterationvarsf,,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,measurement,,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,network,EarthquakeDetector,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,processid,21467,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,repetition,27,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,replication,#27,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,resultdir,results,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,runnumber,27,,,,,,,,
General-27-20210518-20:52:54-21467,runattr,,,seedset,27,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,configname,General,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,datetime,20210518-20:51:07,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,experiment,General,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,iterationvars,,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,iterationvarsf,,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,measurement,,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,network,EarthquakeDetector,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,processid,20678,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,repetition,3,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,replication,#3,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,resultdir,results,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,runnumber,3,,,,,,,,
General-3-20210518-20:51:07-20678,runattr,,,seedset,3,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,configname,General,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,datetime,20210518-20:52:29,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,experiment,General,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,iterationvars,,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,iterationvarsf,,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,measurement,,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,network,EarthquakeDetector,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,processid,21285,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,repetition,21,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,replication,#21,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,resultdir,results,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,runnumber,21,,,,,,,,
General-21-20210518-20:52:29-21285,runattr,,,seedset,21,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,configname,General,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,datetime,20210518-20:51:30,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,experiment,General,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,iterationvars,,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,iterationvarsf,,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,measurement,,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,network,EarthquakeDetector,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,processid,20834,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,repetition,8,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,replication,#8,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,resultdir,results,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,runnumber,8,,,,,,,,
General-8-20210518-20:51:30-20834,runattr,,,seedset,8,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,configname,General,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,datetime,20210518-20:52:33,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,experiment,General,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,iterationvars,,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,iterationvarsf,,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,measurement,,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,network,EarthquakeDetector,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,processid,21316,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,repetition,22,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,replication,#22,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,resultdir,results,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,runnumber,22,,,,,,,,
General-22-20210518-20:52:33-21316,runattr,,,seedset,22,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,configname,General,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,datetime,20210518-20:51:35,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,experiment,General,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,inifile,omnetpp.ini,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,iterationvars,,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,iterationvarsf,,,,,,,,,
General-9-20210518-20:51:35-20860,runattr,,,measurement,,,,,,,,,
